Название,Цена,Ссылка
Super Mario Party™ Jamboree,59.99,https://www.nintendo.com/us/store/products/super-mario-party-jamboree-switch/
Minecraft,29.99,https://www.nintendo.com/us/store/products/minecraft-switch/
Hello Kitty Island Adventure,39.99,https://www.nintendo.com/us/store/products/hello-kitty-island-adventure-switch/
Stardew Valley,14.99,https://www.nintendo.com/us/store/products/stardew-valley-switch/
Cars 3: Driven to Win,0.0,https://www.nintendo.com/us/store/products/cars-3-driven-to-win-switch/
LEGO® NINJAGO® Movie Video Game,0.0,https://www.nintendo.com/us/store/products/lego-ninjago-movie-video-game-switch/
Mario Kart™ 8 Deluxe,59.99,https://www.nintendo.com/us/store/products/mario-kart-8-deluxe-switch/
Hades,24.99,https://www.nintendo.com/us/store/products/hades-switch/
Star of Providence,0.0,https://www.nintendo.com/us/store/products/star-of-providence-switch/
Mortal Kombat 11,0.0,https://www.nintendo.com/us/store/products/mortal-kombat-11-switch/
Overcooked! All You Can Eat,0.0,https://www.nintendo.com/us/store/products/overcooked-all-you-can-eat-switch/
Among Us,0.0,https://www.nintendo.com/us/store/products/among-us-switch/
Hole io,0.0,https://www.nintendo.com/us/store/products/hole-io-switch/
Nintendo Switch™ Sports,39.99,https://www.nintendo.com/us/store/products/nintendo-switch-sports-switch/
Poppy Playtime: Chapter 1,4.99,https://www.nintendo.com/us/store/products/poppy-playtime-chapter-1-switch/
Disney Dreamlight Valley,0.0,https://www.nintendo.com/us/store/products/disney-dreamlight-valley-switch/
Super Smash Bros.™ Ultimate,59.99,https://www.nintendo.com/us/store/products/super-smash-bros-ultimate-switch/
INSIDE,19.99,https://www.nintendo.com/us/store/products/inside-switch/
LEGO® Worlds,0.0,https://www.nintendo.com/us/store/products/lego-worlds-switch/
Donkey Kong Country™ Returns HD,0.0,https://www.nintendo.com/us/store/products/donkey-kong-country-returns-hd-switch/
NBA 2K25,0.0,https://www.nintendo.com/us/store/products/nba-2k25-switch/
Fitness Boxing Fist of the North Star,0.0,https://www.nintendo.com/us/store/products/fitness-boxing-fist-of-the-north-star-switch/
Skyline Bowling,4.99,https://www.nintendo.com/us/store/products/skyline-bowling-switch/
THE GAME OF LIFE 2,0.0,https://www.nintendo.com/us/store/products/the-game-of-life-2-switch/
Super Mario Bros.™ Wonder,59.99,https://www.nintendo.com/us/store/products/super-mario-bros-wonder-switch/
Cult of the Lamb,24.99,https://www.nintendo.com/us/store/products/cult-of-the-lamb-switch/
Animal Crossing™: New Horizons,59.99,https://www.nintendo.com/us/store/products/animal-crossing-new-horizons-switch/
Moving Out,0.0,https://www.nintendo.com/us/store/products/moving-out-switch/
Poppy Playtime: Chapter 2,9.99,https://www.nintendo.com/us/store/products/poppy-playtime-chapter-2-switch/
Pokémon™ Legends: Arceus,59.99,https://www.nintendo.com/us/store/products/pokemon-legends-arceus-switch/
LEGO® The Incredibles,0.0,https://www.nintendo.com/us/store/products/lego-the-incredibles-switch/
Kao the Kangaroo,0.0,https://www.nintendo.com/us/store/products/kao-the-kangaroo-switch/
PICO PARK,4.99,https://www.nintendo.com/us/store/products/pico-park-switch/
Paper io 2,0.0,https://www.nintendo.com/us/store/products/paper-io-2-switch/
Paper Trail,0.0,https://www.nintendo.com/us/store/products/paper-trail-switch/
My Universe - PET CLINIC CATS & DOGS,24.99,https://www.nintendo.com/us/store/products/my-universe-pet-clinic-cats-and-dogs-switch/
LEGO® Marvel Super Heroes 2,0.0,https://www.nintendo.com/us/store/products/lego-marvel-super-heroes-2-switch/
Hollow Knight,15.0,https://www.nintendo.com/us/store/products/hollow-knight-switch/
Bee Simulator,0.0,https://www.nintendo.com/us/store/products/bee-simulator-switch/
PICO PARK 2,8.99,https://www.nintendo.com/us/store/products/pico-park-2-switch/
LIMBO,9.99,https://www.nintendo.com/us/store/products/limbo-switch/
Yu-Gi-Oh! EARLY DAYS COLLECTION,0.0,https://www.nintendo.com/us/store/products/yu-gi-oh-early-days-collection-switch/
